decision_variable,vanillaNAS_dense_best_acc,JimmyNAS_I_fullyCNN_best_acc,vanillaNAS_dense_tflite_acc,JimmyNAS_I_fullyCNN_tflite_acc,vanillaNAS_dense_macs,JimmyNAS_I_fullyCNN_macs,vanillaNAS_dense_flash,JimmyNAS_I_fullyCNN_flash,vanillaNAS_dense_peak_ram,JimmyNAS_I_fullyCNN_peak_ram,vanillaNAS_dense_param_count,JimmyNAS_I_fullyCNN_param_count
k_4_c_0,0.688,0.578,0.681,0.585,270025,300000,3888,3304,19968,19968,191,143,
k_4_c_1,0.76,0.82,0.755,0.811,450073,465000,5568,4800,20480,20480,599,483,
k_4_c_2,0.822,0.859,0.802,0.841,574569,579600,7824,6976,20992,20992,1635,1419,
k_4_c_3,0.82,0.848,0.808,0.831,632970,634356,10936,9976,21504,21504,3435,3123,
k_4_c_4,0.756,0.788,0.754,0.78,653689,653850,14728,13696,22016,22016,5895,5509,
k_8_c_0,0.651,0.599,0.624,0.602,540073,600000,4344,3584,30208,29696,399,283,
k_8_c_1,0.769,0.807,0.772,0.829,1260265,1290000,7192,6200,30720,30208,1887,1539,
k_8_c_2,0.853,0.852,0.837,0.863,1758249,1768032,12656,11312,31232,31232,5847,5139,
k_8_c_3,0.838,0.856,0.82,0.843,1991853,1994184,21304,19608,31744,31744,12849,11787,
k_8_c_4,0.841,0.862,0.833,0.85,2074729,2074482,32680,30712,32768,32256,22487,21149,
