decision_variable,vanillaNAS_dense_best_acc,JimmyNAS_I_fullyCNN_best_acc,vanillaNAS_dense_tflite_acc,JimmyNAS_I_fullyCNN_tflite_acc,vanillaNAS_dense_macs,JimmyNAS_I_fullyCNN_macs,vanillaNAS_dense_flash,JimmyNAS_I_fullyCNN_flash,vanillaNAS_dense_peak_ram,JimmyNAS_I_fullyCNN_peak_ram,vanillaNAS_dense_param_count,JimmyNAS_I_fullyCNN_param_count
k_4_c_0,0.787,0.74,0.805,0.758,270032,310000,3896,3384,19968,22016,200,148,
k_4_c_1,0.85,0.823,0.825,0.819,450080,470000,5576,4880,20480,20480,612,492,
k_4_c_2,0.873,0.88,0.871,0.896,574576,581328,7840,7064,20992,20992,1652,1432,
k_4_c_3,0.864,0.903,0.87,0.907,632977,634896,10952,10064,21504,21504,3455,3139,
k_4_c_4,0.815,0.843,0.811,0.845,653696,654003,14744,13792,22016,22016,5917,5527,
k_8_c_0,0.787,0.759,0.795,0.747,540080,620000,4352,3616,30208,32256,412,292,
k_8_c_1,0.895,0.836,0.888,0.837,1260272,1300000,7208,6240,30720,30208,1908,1556,
k_8_c_2,0.909,0.878,0.9,0.881,1758256,1771488,12680,11360,31232,31232,5876,5164,
k_8_c_3,0.896,0.928,0.915,0.921,1991860,1995264,21336,19664,31744,31744,12884,11818,
k_8_c_4,0.865,0.897,0.866,0.908,2074736,2074788,32712,30776,32768,32256,22526,21184,
