decision_variable,vanillaNAS_dense_best_acc,JimmyNAS_I_fullyCNN_best_acc,vanillaNAS_dense_tflite_acc,JimmyNAS_I_fullyCNN_tflite_acc,vanillaNAS_dense_macs,JimmyNAS_I_fullyCNN_macs,vanillaNAS_dense_flash,JimmyNAS_I_fullyCNN_flash,vanillaNAS_dense_peak_ram,JimmyNAS_I_fullyCNN_peak_ram,vanillaNAS_dense_param_count,JimmyNAS_I_fullyCNN_param_count
k_4_c_0,0.517,0.313,0.504,0.292,270116,370000,3944,3528,19968,37376,254,178
k_4_c_1,0.699,0.547,0.541,0.557,450164,500000,5648,5048,20480,20480,690,546
k_4_c_2,0.905,0.896,0.893,0.879,574660,591696,7936,7256,20992,20992,1754,1510
k_4_c_3,0.963,0.944,0.962,0.949,633061,638136,11064,10272,21504,21504,3575,3235
k_4_c_4,0.966,0.961,0.965,0.957,653780,654921,14872,14016,22016,22016,6049,5635
k_8_c_0,0.496,0.36,0.525,0.316,540164,740000,4424,3832,30208,47104,490,346
k_8_c_1,0.822,0.666,0.796,0.665,1260356,1360000,7328,6504,30720,30208,2034,1658
k_8_c_2,0.952,0.93,0.933,0.898,1758340,1792224,12848,11672,31232,31232,6050,5314
k_8_c_3,0.976,0.967,0.968,0.955,1991944,2001744,21536,20016,31744,31744,13094,12004
k_8_c_4,0.982,0.983,0.976,0.979,2074820,2076624,32944,31144,32768,32256,22760,21394
